ENA_SAMPLE_ACCESSION;ENA_ALIAS;ENA_RUN_ACCESSION;REPLICA;COLLECTION_DATE;COMPLETE_NAME;COUNTRY;CITY;LATITUDE;LONGITUDE;PLANT;SAMPLING TYPE;SEWAGE TYPE;;;;;;;;;;;;;
ERS17759509;1007214;ERR12510710;2;2020-04-02;DTU_2020_1007214_2_MG_RD_CPH_Sewage_639;Denmark;Copenhagen;55,6405;12,5058;Rensningsanlaeg Damhusaaen;24-hour sampler;wastewater treatment plant (municipal or industrial);;;;;;;;;;;;;
ERS17759509;1007214;ERR12510709;1;2020-04-02;DTU_2020_1007214_1_MG_RD_CPH_Sewage_639;Denmark;Copenhagen;55,6405;12,5058;Rensningsanlaeg Damhusaaen;24-hour sampler;wastewater treatment plant (municipal or industrial);;;;;;;;;;;;;
ERS17759508;1007205;ERR12510700;1;2020-02-04;DTU_2020_1007205_1_MG_RD_CPH_Sewage_630;Denmark;Copenhagen;55,6405;12,5058;Rensningsanlaeg Damhusaaen;24-hour sampler;wastewater treatment plant (municipal or industrial);;;;;;;;;;;;;
ERS17759507;1007197;ERR12510692;1;2020-01-14;DTU_2020_1007197_1_MG_RD_CPH_Sewage_622;Denmark;Copenhagen;55,6405;12,5058;Rensningsanlaeg Damhusaaen;24-hour sampler;wastewater treatment plant (municipal or industrial);;;;;;;;;;;;;
ERS17759506;1007175;ERR12510656;2;2019-10-13;DTU_2020_1007175_2_MG_RD_CPH_Sewage_594;Denmark;Copenhagen;55,6405;12,5058;Rensningsanlaeg Damhusaaen;24-hour sampler;wastewater treatment plant (municipal or industrial);;;;;;;;;;;;;
ERS17759506;1007175;ERR12510655;1;2019-10-13;DTU_2020_1007175_1_MG_RD_CPH_Sewage_594;Denmark;Copenhagen;55,6405;12,5058;Rensningsanlaeg Damhusaaen;24-hour sampler;wastewater treatment plant (municipal or industrial);;;;;;;;;;;;;
ERS17759505;1007191;ERR12510685;1;2019-12-20;DTU_2020_1007191_1_MG_RD_CPH_Sewage_616;Denmark;Copenhagen;55,6405;12,5058;Rensningsanlaeg Damhusaaen;24-hour sampler;wastewater treatment plant (municipal or industrial);;;;;;;;;;;;;
ERS17759504;1007251;ERR12510761;1;2020-06-29;DTU_2020_1007251_1_MG_RD_CPH_Sewage_712;Denmark;Copenhagen;55,6405;12,5058;Rensningsanlaeg Damhusaaen;24-hour sampler;wastewater treatment plant (municipal or industrial);;;;;;;;;;;;;
ERS17759503;1007244;ERR12510754;1;2020-06-10;DTU_2020_1007244_1_MG_RD_CPH_Sewage_697;Denmark;Copenhagen;55,6405;12,5058;Rensningsanlaeg Damhusaaen;24-hour sampler;wastewater treatment plant (municipal or industrial);;;;;;;;;;;;;
ERS17759502;1007280;ERR12510797;2;2020-09-28;DTU_2020_1007280_2_MG_RD_CPH_Sewage_2_588;Denmark;Copenhagen;55,6405;12,5058;Rensningsanlaeg Damhusaaen;24-hour sampler;wastewater treatment plant (municipal or industrial);;;;;;;;;;;;;
ERS17759502;1007280;ERR12510796;1;2020-09-28;DTU_2020_1007280_1_MG_RD_CPH_Sewage_2_588;Denmark;Copenhagen;55,6405;12,5058;Rensningsanlaeg Damhusaaen;24-hour sampler;wastewater treatment plant (municipal or industrial);;;;;;;;;;;;;
ERS17759501;1007246;ERR12510756;1;2020-06-17;DTU_2020_1007246_1_MG_RD_CPH_Sewage_703;Denmark;Copenhagen;55,6405;12,5058;Rensningsanlaeg Damhusaaen;24-hour sampler;wastewater treatment plant (municipal or industrial);;;;;;;;;;;;;
ERS17759500;1007279;ERR12510795;1;2019-09-28;DTU_2020_1007279_1_MG_RD_CPH_Sewage_1_588;Denmark;Copenhagen;55,6405;12,5058;Rensningsanlaeg Damhusaaen;24-hour sampler;wastewater treatment plant (municipal or industrial);;;;;;;;;;;;;
ERS17759499;1007211;ERR12510706;1;2020-02-19;DTU_2020_1007211_1_MG_RD_CPH_Sewage_636;Denmark;Copenhagen;55,6405;12,5058;Rensningsanlaeg Damhusaaen;24-hour sampler;wastewater treatment plant (municipal or industrial);;;;;;;;;;;;;
ERS17759498;1007194;ERR12510689;1;2020-01-07;DTU_2020_1007194_1_MG_RD_CPH_Sewage_619;Denmark;Copenhagen;55,6405;12,5058;Rensningsanlaeg Damhusaaen;24-hour sampler;wastewater treatment plant (municipal or industrial);;;;;;;;;;;;;
ERS17759497;1007202;ERR12510697;1;2020-02-29;DTU_2020_1007202_1_MG_RD_CPH_Sewage_627;Denmark;Copenhagen;55,6405;12,5058;Rensningsanlaeg Damhusaaen;24-hour sampler;wastewater treatment plant (municipal or industrial);;;;;;;;;;;;;
ERS17759496;1007177;ERR12510660;2;2019-11-02;DTU_2020_1007177_2_MG_RD_CPH_Sewage_598;Denmark;Copenhagen;55,6405;12,5058;Rensningsanlaeg Damhusaaen;24-hour sampler;wastewater treatment plant (municipal or industrial);;;;;;;;;;;;;
ERS17759496;1007177;ERR12510659;1;2019-11-02;DTU_2020_1007177_1_MG_RD_CPH_Sewage_598;Denmark;Copenhagen;55,6405;12,5058;Rensningsanlaeg Damhusaaen;24-hour sampler;wastewater treatment plant (municipal or industrial);;;;;;;;;;;;;
ERS17759495;1007235;ERR12510740;1;2020-05-14;DTU_2020_1007235_1_MG_RD_CPH_Sewage_673;Denmark;Copenhagen;55,6405;12,5058;Rensningsanlaeg Damhusaaen;24-hour sampler;wastewater treatment plant (municipal or industrial);;;;;;;;;;;;;
ERS17759494;1007269;ERR12510780;1;2020-08-12;DTU_2020_1007269_1_MG_RD_CPH_Sewage_733;Denmark;Copenhagen;55,6405;12,5058;Rensningsanlaeg Damhusaaen;24-hour sampler;wastewater treatment plant (municipal or industrial);;;;;;;;;;;;;
ERS17759493;1007179;ERR12510662;1;2019-11-11;DTU_2020_1007179_1_MG_RD_CPH_Sewage_601;Denmark;Copenhagen;55,6405;12,5058;Rensningsanlaeg Damhusaaen;24-hour sampler;wastewater treatment plant (municipal or industrial);;;;;;;;;;;;;
ERS17759493;1007179;ERR12510663;2;2019-11-11;DTU_2020_1007179_2_MG_RD_CPH_Sewage_601;Denmark;Copenhagen;55,6405;12,5058;Rensningsanlaeg Damhusaaen;24-hour sampler;wastewater treatment plant (municipal or industrial);;;;;;;;;;;;;
ERS17759492;1007160;ERR12510646;1;2019-04-26;DTU_2020_1007160_1_MG_RD_CPH_Sewage_529;Denmark;Copenhagen;55,6405;12,5058;Rensningsanlaeg Damhusaaen;24-hour sampler;wastewater treatment plant (municipal or industrial);;;;;;;;;;;;;
ERS17759491;1007241;ERR12510749;1;2020-06-04;DTU_2020_1007241_1_MG_RD_CPH_Sewage_691;Denmark;Copenhagen;55,6405;12,5058;Rensningsanlaeg Damhusaaen;24-hour sampler;wastewater treatment plant (municipal or industrial);;;;;;;;;;;;;
ERS17759491;1007241;ERR12510750;2;2020-06-04;DTU_2020_1007241_2_MG_RD_CPH_Sewage_691;Denmark;Copenhagen;55,6405;12,5058;Rensningsanlaeg Damhusaaen;24-hour sampler;wastewater treatment plant (municipal or industrial);;;;;;;;;;;;;
ERS17759490;1007257;ERR12510767;1;2020-07-14;DTU_2020_1007257_1_MG_RD_CPH_Sewage_718;Denmark;Copenhagen;55,6405;12,5058;Rensningsanlaeg Damhusaaen;24-hour sampler;wastewater treatment plant (municipal or industrial);;;;;;;;;;;;;
